Nama Perguruan Tinggi Swasta;Tahun;Mahasiswa;Dosen;Rasio
Akademi Keperawatan Insan Husada Surakarta;2022;0;0;-
Akademi Keperawatan Kabupaten Purworejo;2022;263;8;1:33
Akademi Keperawatan Karya Bhakti Nusantara;2022;237;8;1:30
Akademi Keperawatan Krida Husada;2022;0;0;-
Akademi Keperawatan Patria Husada Surakarta;2022;51;5;1:11
Akademi Keperawatan Pragolopati;2022;0;0;-
Akademi Keperawatan Primaya;2022;0;0;-
Akademi Keperawatan Yappi Sragen;2022;80;12;1:7
Akademi Kesehatan 17 Agustus 1945 Semarang;2022;0;0;-
Akademi Kesehatan Asih Husada;2022;48;14;1:4
Akademi Kesehatan Muhammadiyah Temanggung;2022;0;0;-
Akademi Kesejahteraan Sosial Ibu Kartini;2022;208;21;1:10
Akademi Keuangan Perbankan Widya Buana;2022;0;10;-
Akademi Komunitas Adiyasa Karanganyar;2022;0;0;-
Akademi Komunitas Al-Kahfi;2022;218;8;1:28
Akademi Komunitas Balekambang;2022;0;0;-
Akademi Komunitas BPPMNU Banat;2022;23;6;1:4
Akademi Komunitas Miftahus Saadah Grobogan;2022;0;0;-
Akademi Komunitas Semen Indonesia Rembang;2022;0;8;-
Akademi Manajemen Rumah Sakit Kusuma Husada;2022;0;4;-
Akademi Maritim Nusantara Cilacap;2022;630;25;1:26
Akademi Pariwisata Eka Sakti;2022;0;4;-
Akademi Pariwisata Mandala Bhakti;2022;49;14;1:4
Akademi Pariwisata Widya Nusantara Surakarta;2022;0;0;-
Akademi Pelayaran Nasional Surakarta;2022;445;17;1:27
Akademi Pertanian HKTI Banyumas;2022;0;3;-
Akademi Peternakan Karanganyar;2022;0;0;-
Akademi Sekretari Dan Manajemen Santa Anna;2022;0;0;-
Akademi Sekretari Marsudirini Santa Maria;2022;0;6;-
Akademi Seni Dan Desain Indonesia Surakarta;2022;1;10;1:1
Akademi Seni Mangkunegaran Surakarta;2022;0;22;-
Akademi Statistika Muhammadiyah Semarang;2022;0;0;-
Akademi Teknik Elektro Medik Semarang;2022;0;0;-
Akademi Teknik PIKA;2022;127;7;1:19
Akademi Teknik Tirta Wiyata;2022;383;11;1:35
Akademi Teknik Wacana Manunggal Semarang;2022;107;15;1:8
Akademi Teknologi AUB;2022;0;0;-
AKBID Bhakti Putra Bangsa Purworejo;2022;0;0;-
